Content,Issue,Valence,Account,High_IH,nuance,curiosity,respect
"I'm honestly curious about what the other side thinks. I agree that the gangs and the drugs that come over here from Mexico are a problem. At the same time, I think we already have gangs and drugs over here before Mexico brought them over.",immigration,liberal,enigma.898,Yes,0.550736,0.868827,0.687889
"I understand the argument that the system needs reform. However, my own view is that many who have immigrated are the epitome of an outstanding citizens that contributes to society and our economy.",immigration,liberal,enigma.897,Yes,0.485696,0.612477,0.921276
"It's been a long time since I took US history, but I believe this land as far as Texas, New Mexico, Arizona, California, we're all Mexico territory before The United States took it from them. So I guess it would make sense that They're going to come back, maybe because they never left.",immigration,liberal,All_You_Need_Is_Love,Yes,0.542488,0.78689,0.518907
"Others might disagree, but I don't understand the argument that Mexicans are taking jobs. If you are unemployed, couldn't find a job anywhere, and a lettuce field in your city that was hiring, would you apply? My sense is that most Americans would say no.",immigration,liberal,All_You_Need_Is_Love,Yes,0.591946,0.921268,0.429073
"I understand why people are worried about the Southern Border situation, but I don't think that has much to do with terrorism. I might be wrong, but I think that more terrorists are coming over the Canadian border.",immigration,liberal,All_You_Need_Is_Love,Yes,0.433095,0.81225,0.709488
The US needs immigration in order to meet the economic needs of this country.,immigration,liberal,wobbles_35,No,0.161188,0.090362,0.591527
I believe the benefits of legal immigration outweigh the downsides,immigration,liberal,wobbles_34,No,0.093179,0.323944,0.681547
A wall is an expensive an useless symbolic endeavour that won't actually do anything to stop or slow immigration. 90% of people in this country illegally entered with valid work or tourism visas and then just did not leave when they were supposed to. It's the clogged up immigration court system that leads to undocumented immigrants more than an unsecured border.,immigration,liberal,verbal_latte,No,0.660725,0.307638,0.276736
"The bottom line is that we benefit from the human capital that comes here legally to grow our economy, to innovate and lend their skills and talent to a country that welcomes them. Tech and finance would absolutely shut down without the H1-B visa program. On the other end of the spectrum, I see undocumented workers cleaning gutters all the time.",immigration,liberal,verbal_latte,No,0.68968,0.317407,0.848003
"Immigration is the reason several countries, such as the United States, exist. Immigrants bring their culture, knowledge, and abilities to the new countries they inhabit.",immigration,liberal,velvet_vanity,No,0.368619,0.142653,0.684715
Immigration has always been an integral part of the policy in the USA and should definatly continue.,immigration,liberal,velvet_vanity,No,0.283368,0.268824,0.846438
"We need a way to get the labor we need, without exploitation, build community by decriminalizing immigration, and recognize that our country's actions in the world have done a great deal to create the conditions many people who come here are fleeing.",immigration,liberal,politics.junky,No,0.681592,0.488424,0.847036
"In my view, first-generation immigrants are the hardest-working, family-oriented, caring and driven people. Anyone with a heart would be welcoming them into your community. They are not the enemies, whatever their immigration status. They exhibit the values our country holds dear.",immigration,liberal,politics.junky,No,0.487678,0.111236,0.921276
"Historically, America is a nation of immigrants. And each group has contributed to the development of our society. Politicians just play on the fears of the working class to build opposition to immigration.",immigration,liberal,politics.junky,No,0.477789,0.18341,0.578168
"My view is that benefits of immigration outweigh the harm, by a lot. We gain smart and able folks. My doctor for the past 10 years was an immigrant, and I really liked the care he gave me. Plus immigrants will sometimes take jobs native born don't want,like house cleaning.",immigration,liberal,Taylor.C,No,0.843156,0.632879,0.891565
Immigrants seem to do more to try and support themselves than many native-born Americans,immigration,liberal,Taylor.C,No,0.164624,0.240148,0.533437
Many farms in the past years have had significant waste due to a shortage of labor not being able to harvest. This increases food prices. The largest shortage of labor in healthcare is in nursing home jobs and home health aids. Immigrants frequently fill these jobs.,immigration,liberal,Sam_theFan,No,0.839343,0.203556,0.458848
Illegal immigrants do pay taxes. There is a tax id number specifically for illegal immigrants. Everyone pays sales tax at checkout for groceries etc. Unless you are homeless you pay rent or own a home. Part of that is paying school and property taxes.,immigration,liberal,Sam_theFan,No,0.717519,0.612477,0.358277
"Living close to the border has made me think that we need a wall. Our border patrol, who are the real experts, has asked for a wall. I haven't dug into the numbers, but I've heard the wall has already made in a difference in the areas it is in place. I feel we shouldn't ask our border patrol to risk their lives and not give them the tools they ask for.",immigration,conservative,trucks_n_stuff,Yes,0.851805,0.692161,0.843239
"A lot of reporting I've seen suggests that the illegal crossing are very dangerous. If that's true, we should do everything we can to deter this. I've heard that many die every year crossing in unsafe areas, and that even when they make it across they die of heat and thrust or crammed in the back of trucks. It seems like, then, a border wall is for their safety as well as ours.",immigration,conservative,trucks_n_stuff,Yes,0.810292,0.702789,0.806035
I understand it is a complex issue and I actually have no problem with asylum seekers. I personally believe that we should be letting in people who will come in to this country the legal way and assimilate into our country. This is just my perspective and open to hear the views of others.,immigration,conservative,Jamie.W,Yes,0.757346,0.809654,0.870194
"I'm sure others disagree, but I don't think it's our responsibility as a nation to take care of people from other countries who can't get any help from their own government. I think we have enough AMERICANS who need assistance, and we should help them first. I guess I just don't understand why we should be paying for anyone who manages to sneak in to our country.",immigration,conservative,Jamie.W,Yes,0.561084,0.766261,0.695855
"I'm not an expert, but it seems like more immigration can only hurt me. I'm interesting in hearing the argument for the other side.",immigration,conservative,Jamie.W,Yes,0.355441,0.840081,0.705466
"Illegals clog up the welfare office, free clinics, YMCA, ect. Without paying any taxes that support these things. Also they tend to have children soon as they get here making it impossible to deport them as the child is concidered an amercian.",immigration,conservative,swifty_124,No,0.493637,0.16288,0.295746
"We should require immigrants tto meet the same ideals we had in the 50's. My parents had to learn the language, pass a test and have a reason to be here and for my Dad that was a job that required education. The biggest problem I think we have is the sheer numbers of undocumented immigrants.",immigration,conservative,swifty_123,No,0.609712,0.466726,0.775302
"The immigration needs to be controlled in order to maintain any semblance of national identity. Past immigrants came to be a part of the great United States, to become part of us. They would embrace our culture and values and contribute theirs to make us all better. If the influx of immigrants is uncontrolled we run the risk of losing that unified goal.",immigration,conservative,open.road,No,0.551769,0.246485,0.811927
"Immigrants just come to get what they can, to take the opportunities living here affords without really investing energy and emotion into becoming an American. This further promotes divisions among us as different cultures just gather in various areas, re-establishing pockets of their own culture, rather than assimilating into ours",immigration,conservative,open.road,No,0.518935,0.157795,0.441737
Immigration was good when they came and assimilated to the country's core values,immigration,conservative,open.road,No,0.214533,0.240148,0.673657
Immigration is dangerous,immigration,conservative,melody.90,No,0.100777,0.42389,0.618977
